words,frequency
ago,111
exactly,111
third,111
actual,111
feature,111
taking,111
racing,111
damage,110
shooters,110
server,110
fallout,110
rewarding,109
exploration,109
brings,109
rest,109
history,108
suggest,108
blast,108
sort,108
car,108
live,108
fights,108
ii,108
masterpiece,108
gta,108
detail,108
customization,108
moments,107
literally,107
likes,107
season,107
greatest,106
piece,106
across,106
anyway,106
group,106
immersive,106
gt,105
miss,105
score,105
speed,105
written,104
card,104
mention,104
break,104
hold,104
guess,104
batman,104
bring,103
effect,103
allows,103
scary,103
diablo,103
believe,102
mmo,102
12,102
arcade,102
harder,102
universe,102
match,101
lol,101
option,101
saying,101
slightly,101
lose,101
area,101
alien,101
watching,100
dialogue,100
creative,100
graphic,100
dungeon,100
gone,100
continue,100
star,100
intense,99
hidden,99
favourite,99
details,99
mix,99
higher,99
follow,99
environment,99
civ,99
expected,98
non,98
hardcore,98
figure,98
monsters,98
workshop,98
leave,97
paid,97
enjoying,97
requires,97
words,97
strong,96
black,96
narrative,96
heard,96
beyond,96
called,96
unlike,96
fully,96
sim,96
complex,96
party,96
straight,95
couldn,95
completed,95
interested,95
gave,95
improved,95
edit,95
regret,94
0,94
exploring,94
mechanic,94
perfectly,94
awsome,93
rating,93
ask,93
finding,93
name,93
heroes,93
borderlands,93
cute,92
titles,92
shows,92
attacks,92
sandbox,92
magic,92
glad,92
designed,91
animations,91
crashes,91
starting,91
development,91
cover,91
forget,90
today,90
rpgs,90
offers,90
developer,90
ton,90
60,90
gold,90
novel,90
company,89
changes,89
blood,89
crafting,89
becomes,89
wall,89
evil,89
form,89
surprisingly,89
key,89
bioshock,89
whatever,88
including,88
gem,88
created,88
missing,88
decided,88
red,88
balanced,88
lore,87
depending,87
minor,87
house,87
dollars,87
moving,87
clear,87
room,87
older,86
tactics,86
performance,86
focus,86
seeing,86
resources,86
3d,86
happen,86
pure,86
o,85
cry,85
direction,85
health,85
portal,85
solo,85
working,85
places,85
movement,85
length,85
solve,85
stuck,85
relaxing,85
lt,84
walking,84
personal,84
item,84
constantly,84
progression,84
stay,84
step,84
poor,84
playable,84
girl,84
anime,84
f,83
fresh,83
path,83
wants,83
drop,83
terms,83
doom,83
console,82
updated,82
n,82
case,82
pvp,82
write,82
hilarious,82
nearly,81
reminds,81
human,81
aspects,81
detailed,81
bunch,81
balance,81
changed,81
allow,80
gorgeous,80
tough,80
consider,80
thank,80
role,80
theme,80
custom,79
near,79
infinite,79
coop,79
dlcs,79
powerful,79
linear,79
likely,79
told,79
gonna,79
test,79
walk,79
weird,79
scenes,79
require,78
grab,78
standard,78
rogue,78
range,78
driving,78
list,77
lets,77
none,77
talking,77
v,77
hear,77
current,77
four,77
stand,77
bullet,77
core,77
hero,77
journey,76
disappointed,76
pack,76
faster,76
army,76
plan,76
bucks,76
decisions,76
killed,76
metal,76
tutorial,76
curve,75
melee,75
pass,75
meet,75
experienced,75
considering,75
perhaps,75
late,75
months,75
serious,75
ships,75
edition,75
background,75
ammo,74
powers,74
race,74
impossible,74
adding,74
track,74
book,74
stunning,74
grind,74
reasons,73
emotional,73
wont,73
wink,73
talk,73
stupid,73
fly,73
fall,73
scene,73
dragon,73
creed,73
date,72
currently,72
simulation,72
word,72
lag,72
generally,72
friendly,72
alive,71
outside,71
dying,71
kept,71
loads,71
filled,71
happened,71
glitches,71
gotten,71
polished,71
wanna,71
dev,71
pull,71
crap,70
duty,70
throw,70
unfortunately,70
exciting,70
turns,70
moves,70
eye,70
fair,70
retro,70
hopefully,70
eventually,70
collect,70
turned,70
interactive,70
b,70
em,70
singleplayer,69
spot,69
five,69
travel,69
theres,69
buildings,69
downside,69
says,69
90,69
buggy,69
gain,69
planets,69
objectives,69
anymore,69
expansion,68
prefer,68
wars,68
starts,68
library,68
leveling,68
