words,frequency
room,188
effects,188
download,187
loot,187
starting,187
scary,187
wonderful,187
upgrade,186
humor,185
load,184
franchise,183
third,183
gta,183
brilliant,183
called,183
crap,182
types,182
important,182
weird,182
rts,182
party,182
windows,181
physics,181
grind,181
incredible,180
throughout,180
feature,179
deep,179
anymore,179
xbox,178
effect,178
figure,178
heart,178
wow,177
cars,177
smooth,177
12,177
buggy,177
recomend,177
age,176
group,176
worse,176
replayability,176
crazy,176
movie,176
says,175
console,175
events,175
paid,175
tutorial,175
beyond,175
fallout,175
p,174
upon,174
entertaining,174
mention,174
seconds,174
tower,173
casual,173
movement,173
ask,173
adds,173
ii,173
bug,172
offer,172
upgrades,172
miss,171
easier,170
gone,170
break,170
ive,170
continue,170
straight,169
playthrough,169
becomes,169
bring,169
wall,169
happen,169
menu,169
stay,169
red,169
gonna,169
gold,168
hold,168
missing,168
walk,168
words,167
endless,167
decided,167
master,167
moments,166
dungeon,166
requires,166
lag,165
item,165
attention,165
health,164
blood,164
walking,164
turns,164
score,164
addicting,164
whether,163
mechanic,163
watching,162
minecraft,162
clear,162
crash,162
civ,162
pass,161
harder,161
platformer,161
camera,161
nearly,160
constantly,160
across,160
lol,159
designed,159
challenges,159
serious,158
resources,158
dollars,158
hidden,157
unfortunately,157
note,157
glitches,157
changed,157
racing,157
episode,157
x,157
history,156
expected,156
2d,156
heard,156
moving,156
today,155
exploration,155
happened,155
fights,155
alien,155
near,154
addition,154
told,154
linear,154
suggest,153
slightly,153
minor,153
star,153
stories,153
none,152
patch,152
current,152
evil,152
development,152
follow,152
defense,151
higher,151
terraria,151
universe,151
environment,151
season,151
likely,150
company,150
cry,150
changes,150
regret,149
performance,149
case,149
engaging,149
doom,149
balance,149
starts,148
direction,148
brings,148
written,148
interested,148
places,148
text,148
write,148
dying,147
fantasy,147
disappointed,147
arcade,147
perhaps,147
allows,147
step,147
magic,147
graphic,146
rage,146
attacks,146
hardcore,146
shooters,146
seeing,146
bunch,146
detail,146
customization,146
batman,146
wont,145
house,145
tactical,144
shows,144
form,144
months,144
playable,144
average,144
completed,143
rating,143
access,143
animations,143
eventually,143
heroes,143
doesnt,142
ammo,142
40,142
turned,142
blast,142
gamer,142
fully,142
cover,142
objects,142
talking,141
positive,141
grinding,141
hear,141
wants,141
3d,141
pvp,141
died,141
diablo,141
complex,141
ton,140
supposed,140
stand,140
didnt,140
family,140
monster,140
ships,140
human,139
finding,139
titles,138
lets,138
happens,138
mmo,138
press,138
girl,138
refund,137
including,137
core,137
cut,137
focus,137
ground,137
aspects,136
likes,136
balanced,136
forget,135
strong,135
drive,135
fair,135
mix,135
loading,135
flaws,135
drop,135
greatest,134
throw,134
cash,134
theres,134
town,134
anime,134
cute,133
avoid,133
narrative,133
four,133
buildings,133
crafting,132
towards,132
pack,132
fall,132
require,131
five,131
confusing,131
currently,131
glad,130
details,130
race,130
rewarding,130
awful,130
thumbs,130
driving,130
launch,129
kept,129
path,129
scenes,129
sandbox,129
considering,129
luck,129
lt,128
intense,128
progression,128
improved,128
ended,128
late,128
bucks,128
terms,128
sim,128
expansion,127
favourite,127
created,127
b,127
updated,126
duty,126
offers,126
per,126
allow,126
creative,126
taken,126
sadly,126
collect,126
planet,126
workshop,126
perfectly,125
armor,125
v,125
borderlands,125
test,125
biggest,125
older,124
outside,124
bother,124
join,124
personal,124
standard,124
range,124
flying,124
survive,124
dev,124
restart,123
gotten,123
talk,123
powerful,123
background,123
melee,123
generally,123
experienced,123
exploring,123
heavy,123
90,123
masterpiece,123
audio,123
beta,123
goal,122
n,122
entirely,122
army,122
youtube,122
book,122
stick,122
grab,121
word,121
dlcs,121
honest,121
enjoying,121
unplayable,121
novel,121
c,120
immersive,120
list,120
reasons,120
barely,120
drops,120
depending,120
managed,120
solve,120
shame,120
eyes,120
plan,120
thank,120
forced,120
arkham,120
matches,119
journey,119
aside,119
mess,119
ui,119
isnt,119
unlike,119
o,118
faster,118
consider,118
giant,118
account,118
effort,118
looked,118
view,118
pure,118
force,118
middle,117
moves,117
filled,117
clunky,117
fly,117
edition,117
theme,117
cost,116
resolution,116
imagine,116
dragon,116
bullet,116
coop,115
seemed,115
wanna,115
surprisingly,115
lore,114
apart,114
built,114
solo,114
hero,114
tactics,113
meet,113
board,113
crashing,113
strange,113
bioshock,113
kick,112
kills,112
systems,112
store,112
adding,112
inventory,112
reach,112
aliens,112
stats,112
inside,112
squad,112
hoping,112
f2p,112
curve,111
walls,111
animation,111
interface,111
sit,111
fear,111
pro,110
lacks,110
skyrim,110
breaking,110
minute,110
equipment,110
scene,110
killer,110
ball,110
singleplayer,109
rpgs,109
spot,109
ahead,109
jumping,109
self,109
decisions,109
interactive,109
worked,109
friendly,109
custom,108
improve,108
hack,108
slowly,108
mine,108
rare,108
0,108
ready,108
error,108
track,108
creed,108
recent,108
paying,107
wars,107
specific,107
date,107
expecting,107
insane,107
water,107
lacking,107
gain,107
leaves,107
user,106
travel,106
fresh,106
portal,106
2015,106
hackers,105
soo,105
state,105
mad,105
air,105
twice,105
metal,105
randomly,105
poorly,105
length,105
sorry,105
knew,105
wise,105
role,105
software,105
suck,104
detailed,104
manage,104
tough,104
hopefully,104
obvious,104
clearly,104
picking,104
ran,104
fail,104
king,104
ends,104
awsome,103
reminds,103
lines,103
completing,103
market,103
cs,102
realize,102
loads,102
hey,102
gem,102
decide,102
destroy,102
land,102
food,102
touch,102
girls,102
alive,101
infinite,101
kid,101
guide,101
machine,101
door,101
post,101
following,101
keys,101
planets,101
ubisoft,101
microtransactions,101
sonic,101
payday,101
somehow,100
properly,100
row,100
thus,100
eye,100
interest,100
textures,100
hands,100
200,100
tired,100
tedious,100
meant,100
pull,100
wink,99
soldiers,99
garbage,99
absolute,99
library,99
tree,99
forever,99
listen,99
conclusion,99
connection,98
counter,98
powers,98
copy,98
alright,98
sword,98
earth,98
polished,98
creepy,98
hundreds,97
bonus,97
leveling,97
rogue,97
expensive,97
particular,97
uses,97
complaint,97
objectives,97
weak,96
constant,96
emotional,96
360,96
exciting,96
pace,96
g,96
box,96
em,96
immediately,96
simulation,96
quit,96
became,96
hang,96
obviously,96
unit,96
possibly,96
hilarious,96
endings,96
relaxing,96
knows,95
skip,95
25,95
battlefield,95
begin,95
sniper,95
assassin,95
wanting,95
floor,95
doubt,95
grow,95
source,95
prefer,94
strike,94
week,94
required,94
lead,94
stopped,94
blow,94
telling,94
besides,94
kids,93
gotta,93
english,93
pain,93
witcher,93
gorgeous,93
known,93
factions,93
attempt,93
round,93
dota,93
tomb,93
xcom,93
putting,92
sell,92
involved,92
